slice,roi_mae,roi_rmse,roi_psnr,roi_ssim,full_mae,full_rmse,full_psnr,full_ssim,cbct_roi_mae,roi_n
slice_0170,54.3105,131.6067,29.8085,0.8934,34.4585,104.8154,31.7855,0.9139,210.5947,41539
slice_0171,49.1667,120.7178,30.5586,0.9025,31.1492,96.0762,32.5417,0.9211,211.9404,41473
slice_0172,48.8839,118.6482,30.7088,0.9044,30.9411,94.3843,32.6960,0.9230,212.9496,41434
slice_0173,50.2009,129.9341,29.9196,0.9124,31.7215,103.2673,31.9148,0.9294,212.7924,41364
slice_0174,43.0232,99.5922,32.2295,0.9162,27.1732,79.1492,34.2251,0.9324,212.5504,41337
slice_0175,44.1119,107.2221,31.5883,0.9159,27.8458,85.2208,33.5831,0.9322,212.1826,41298
slice_0176,45.0809,103.5800,31.8885,0.9119,28.4317,82.3029,33.8857,0.9290,211.3132,41256
slice_0177,48.9786,111.4063,31.2558,0.8869,30.8350,88.4128,33.2637,0.9098,211.3613,41204
slice_0178,50.2160,113.5711,31.0887,0.9067,31.5596,90.0575,33.1036,0.9256,210.7652,41129
slice_0179,46.8661,101.0825,32.1005,0.9178,29.3936,80.0719,34.1244,0.9344,210.4930,41043
slice_0180,48.5015,122.6634,30.4197,0.9091,30.3531,97.0342,32.4555,0.9278,210.3390,40946
slice_0181,39.5004,93.2059,32.8052,0.9278,24.6827,73.6994,34.8447,0.9425,210.6537,40874
slice_0182,41.0159,90.9419,33.0187,0.9192,25.5699,71.8398,35.0667,0.9361,210.6844,40777
slice_0183,40.8484,93.6369,32.7651,0.9240,25.4360,73.9287,34.8178,0.9399,210.5296,40729
slice_0184,40.2332,93.9916,32.7322,0.9288,25.0182,74.1479,34.7920,0.9437,209.7267,40676
slice_0185,43.7003,100.5811,32.1437,0.9163,27.1146,79.2387,34.2153,0.9339,208.4544,40599
