slice,roi_mae,roi_rmse,roi_psnr,roi_ssim,full_mae,full_rmse,full_psnr,full_ssim,cbct_roi_mae,roi_n
slice_0244,138.0390,246.8070,24.3469,0.7599,52.1177,151.6238,28.5787,0.8638,189.9955,24730
slice_0245,174.7018,300.3209,22.6423,0.7146,64.1709,181.9911,26.9930,0.8429,188.7511,24054
slice_0246,155.4811,271.7487,23.5107,0.7384,55.5348,162.3836,27.9832,0.8578,184.3188,23395
slice_0247,252.1547,418.2885,19.7645,0.6554,87.3125,246.1199,24.3711,0.8143,186.6615,22689
slice_0248,152.8562,278.0092,23.3128,0.7317,50.8574,160.3457,28.0929,0.8657,208.7968,21792
slice_0249,106.0733,199.7704,26.1834,0.7778,32.8682,111.1845,31.2731,0.8981,232.7055,20298
slice_0250,211.7800,347.3808,21.3779,0.6660,57.8221,181.4845,27.0172,0.8577,234.7467,17886
slice_0251,257.6939,403.9445,20.0676,0.6739,60.9838,196.4701,26.3281,0.8760,216.6999,15501
slice_0252,330.0092,488.9842,18.4081,0.6080,65.3938,217.6386,25.4393,0.8730,217.2494,12978
slice_0253,158.5130,249.9440,24.2372,0.7507,25.5652,100.3302,32.1654,0.9344,220.2774,10502
slice_0254,229.6021,335.1179,21.6901,0.6863,29.0300,119.1225,30.6741,0.9361,215.8467,8271
slice_0255,183.7338,240.4257,24.5744,0.7182,16.9389,72.9851,34.9293,0.9565,194.9241,6039
slice_0256,91.0474,185.2859,26.8372,0.8574,5.5675,45.7795,38.9806,0.9866,173.3439,3993
slice_0257,130.1091,252.0858,24.1631,0.8504,4.6505,47.6207,38.6381,0.9903,176.7634,2338
slice_0258,81.6378,147.6499,28.8094,0.8752,1.5364,20.2480,46.0664,0.9959,187.6780,1210
slice_0259,826.6757,879.7429,13.3069,0.1199,5.6405,72.6557,34.9686,0.9885,164.9380,447
MEAN,84.8853,167.2476,28.4173,0.8048,37.2657,110.9596,31.6603,0.8898,199.9686,
STD,64.8095,82.0321,3.2341,0.1162,11.7437,32.8292,2.5687,0.0423,27.3730,
